date,value
2020-01-02,999296.0124022925
2020-01-03,998546.3019102925
2020-01-06,996823.0443517447
2020-01-07,1004725.5034409487
2020-01-08,1009672.6507346107
2020-01-09,1027696.134939364
2020-01-10,1018583.7646483642
2020-01-13,1026329.6040293641
2020-01-14,1024420.235229364
2020-01-15,1023722.5688393641
2020-01-16,1030294.916558364
2020-01-17,1030779.802162364
2020-01-20,1046498.006473364
2020-01-21,1029110.5164885069
2020-01-22,1034933.1856502023
2020-01-23,1027351.5152271372
2020-02-03,987215.8502838163
2020-02-04,991362.6274638164
2020-02-05,993345.8687238164
2020-02-06,994339.3791303246
2020-02-07,994339.3791303246
2020-02-10,994339.3791303246
2020-02-11,994339.3791303246
2020-02-12,994450.9690152959
2020-02-13,995124.4714152958
2020-02-14,995292.8470152959
2020-02-17,996345.1945152958
2020-02-18,998618.2651152959
2020-02-19,1001172.9027975603
2020-02-20,1003336.9245735604
2020-02-21,1006418.0992231827
2020-02-24,1005815.2757895715
2020-02-25,1005815.2757895715
2020-02-26,1005815.2757895715
2020-02-27,1005815.2757895715
2020-02-28,1005815.2757895715
2020-03-02,1005815.2757895715
2020-03-03,1005815.2757895715
2020-03-04,1005815.2757895715
2020-03-05,1005815.2757895715
2020-03-06,1005815.2757895715
2020-03-09,1005815.2757895715
2020-03-10,1005950.9772928952
2020-03-11,1005030.4517848953
2020-03-12,1003583.9117008953
2020-03-13,1002992.1453028952
2020-03-16,1001489.1206690937
2020-03-17,1001489.1206690937
2020-03-18,1001489.1206690937
2020-03-19,1001489.1206690937
2020-03-20,1001489.1206690937
2020-03-23,1001489.1206690937
2020-03-24,1001489.1206690937
2020-03-25,1001489.1206690937
2020-03-26,1001489.1206690937
2020-03-27,1001489.1206690937
2020-03-30,1001489.1206690937
2020-03-31,1001489.1206690937
2020-04-01,1001489.1206690937
2020-04-02,1001489.1206690937
2020-04-03,1001489.1206690937
2020-04-07,1001489.1206690937
2020-04-08,1001489.1206690937
2020-04-09,1001489.1206690937
2020-04-10,1001489.1206690937
2020-04-13,1001489.1206690937
2020-04-14,1001489.1206690937
2020-04-15,1001489.1206690937
2020-04-16,1001489.1206690937
2020-04-17,1001489.1206690937
2020-04-20,1001489.1206690937
2020-04-21,1001489.1206690937
2020-04-22,1001489.1206690937
2020-04-23,1001489.1206690937
2020-04-24,1001489.1206690937
2020-04-27,1001489.1206690937
2020-04-28,1001489.1206690937
2020-04-29,1001489.1206690937
2020-04-30,1001489.1206690937
2020-05-06,1001489.1206690937
2020-05-07,1001489.1206690937
2020-05-08,1001489.1206690937
2020-05-11,1001492.6323585443
2020-05-12,1000643.8241185442
2020-05-13,1001694.7295585442
2020-05-14,1000765.0824385443
2020-05-15,999552.4992385443
2020-05-18,1002422.2794785443
2020-05-19,1002341.4405985442
2020-05-20,999188.7242785442
2020-05-21,997862.5908104234
2020-05-22,997862.5908104234
2020-05-25,997862.5908104234
2020-05-26,997862.5908104234
2020-05-27,997862.5908104234
2020-05-28,997862.5908104234
2020-05-29,997862.5908104234
2020-06-01,997862.5908104234
2020-06-02,997862.5908104234
2020-06-03,998346.3858397081
2020-06-04,996805.0032697081
2020-06-05,997808.1252597081
2020-06-08,995497.7265509526
2020-06-09,993634.1293749528
2020-06-10,992675.7886289527
2020-06-11,994077.7054837435
2020-06-12,992870.1401777435
2020-06-15,992447.466384437
2020-06-16,993028.0570184371
2020-06-17,994932.6817924371
2020-06-18,993293.4336624371
2020-06-19,991569.5254244371
2020-06-22,990188.1466464371
2020-06-23,989959.0173044371
2020-06-24,991507.9071664371
2020-06-29,992884.6277324371
2020-06-30,999671.654160437
2020-07-01,999393.592038437
2020-07-02,1000870.0085583704
2020-07-03,1010548.2579583704
2020-07-06,1036932.3243937416
2020-07-07,1033907.6780677414
2020-07-08,1045747.3443637415
2020-07-09,1066381.9578837415
2020-07-10,1060782.3025981495
2020-07-13,1067165.378009709
2020-07-14,1057917.2727097091
2020-07-15,1047189.9465188135
2020-07-16,1041665.5036488136
2020-07-17,1040560.9247813356
2020-07-20,1041176.9247813356
2020-07-21,1041280.6286981356
2020-07-22,1041280.6286981356
2020-07-23,1041280.6286981356
2020-07-24,1041280.6286981356
2020-07-27,1041280.6286981356
2020-07-28,1041108.8956445357
2020-07-29,1040473.3647245357
2020-07-30,1038890.3647245357
2020-07-31,1044374.3647245357
2020-08-03,1051136.3553658992
2020-08-04,1052561.131466899
2020-08-05,1059191.2047518992
2020-08-06,1054876.9497338992
2020-08-07,1048505.3332718993
2020-08-10,1049663.9826887161
2020-08-11,1039764.4900026405
2020-08-12,1038208.5221703185
2020-08-13,1038735.7141683185
2020-08-14,1039682.7566053185
2020-08-17,1042617.6365803184
2020-08-18,1043798.4332906017
2020-08-19,1038191.6713166017
2020-08-20,1036336.5526006017
2020-08-21,1037294.3479986016
2020-08-24,1038724.7506456017
2020-08-25,1040639.5017800794
2020-08-26,1036747.2441540795
2020-08-27,1039614.2631080794
2020-08-28,1043054.8619020795
2020-08-31,1040863.8110470795
2020-09-01,1040715.5207860795
2020-09-02,1039909.4337470795
2020-09-03,1033822.0146950795
2020-09-04,1035106.4201235578
2020-09-07,1043987.1516204667
2020-09-08,1046511.4160944667
2020-09-09,1032659.5694106617
2020-09-10,1006606.8751444512
2020-09-11,1006606.8751444512
2020-09-14,1007065.2663244511
2020-09-15,1007523.6575044511
2020-09-16,1006148.4839644511
2020-09-17,1005690.0927844511
2020-09-18,1008898.8310444511
2020-09-21,1010274.0045844511
2020-09-22,1009357.2222244511
2020-09-23,1006606.8751444512
2020-09-24,1003733.333051192
2020-09-25,1003733.333051192
2020-09-28,1003733.333051192
2020-09-29,1003733.333051192
2020-09-30,1003733.333051192
2020-10-09,1003733.333051192
2020-10-12,1002705.1206434892
2020-10-13,1010545.6625484892
2020-10-14,1005101.5785534892
2020-10-15,1005110.4207784892
2020-10-16,1006361.5785534892
2020-10-19,1009289.1994384892
2020-10-20,1009705.6625484892
2020-10-21,1008870.9678834891
2020-10-22,1008867.4309934891
2020-10-23,1008449.1994384892
2020-10-26,1006770.9678834891
2020-10-27,1003643.6085685907
2020-10-28,998507.8645285907
2020-10-29,998507.8645285907
2020-10-30,998507.8645285907
2020-11-02,997611.7608896837
2020-11-03,997975.6809846837
2020-11-04,999156.9584358684
2020-11-05,1001408.1569048684
2020-11-06,1001144.6219038684
2020-11-09,1003932.8130638684
2020-11-10,1005685.7911241419
2020-11-11,993581.7863071419
2020-11-12,992986.7388741418
2020-11-13,997181.4011031418
2020-11-16,998771.1828591418
2020-11-17,992149.815528019
2020-11-18,989552.278833019
2020-11-19,990478.336151019
2020-11-20,995176.493674019
2020-11-23,996340.944357309
2020-11-24,1002871.946164309
2020-11-25,994840.3974382336
2020-11-26,994939.7002352336
2020-11-27,987754.4020812337
2020-11-30,982863.2523516878
2020-12-01,989598.1285176877
2020-12-02,991289.5679799111
2020-12-03,993963.2791679112
2020-12-04,993209.3769569112
2020-12-07,1003819.0465449111
2020-12-08,1011784.4733929111
2020-12-09,1010667.3781254462
2020-12-10,1004341.5478814461
2020-12-11,1013639.5329394462
2020-12-14,1011553.4854154461
2020-12-15,1003654.8281415149
2020-12-16,1005507.3891375149
2020-12-17,1006211.4424875149
2020-12-18,1007363.2036435149
2020-12-21,1016456.7985955148
2020-12-22,1012957.1877535149
2020-12-23,1016095.4315616156
2020-12-24,1019028.6749176155
2020-12-25,1023746.1701316156
2020-12-28,1020466.9864376155
2020-12-29,1016959.2439636155
2020-12-30,1022104.8029400391
2020-12-31,1023122.228358039
2021-01-04,1028120.008506174
2021-01-05,1032745.478212174
2021-01-06,1032380.749948174
2021-01-07,1040685.1661481741
2021-01-08,1044116.2630161741
2021-01-11,1030346.119340174
2021-01-12,1034792.043384174
2021-01-13,1035099.961792174
2021-01-14,1027085.6160665536
2021-01-15,1027085.6160665536
2021-01-18,1027085.6160665536
2021-01-19,1027085.6160665536
2021-01-20,1027085.6160665536
2021-01-21,1027085.6160665536
2021-01-22,1027085.6160665536
2021-01-25,1027085.6160665536
2021-01-26,1027085.6160665536
2021-01-27,1027085.6160665536
2021-01-28,1026874.5261033121
2021-01-29,1026460.1063253122
2021-02-01,1030466.1641793122
2021-02-02,1029568.2546603122
2021-02-03,1031225.9337723121
2021-02-04,1027841.5055853121
2021-02-05,1022524.5663617605
2021-02-08,1022524.5663617605
2021-02-09,1022524.5663617605
2021-02-10,1022524.5663617605
2021-02-18,1022524.5663617605
2021-02-19,1022524.5663617605
2021-02-22,1022524.5663617605
2021-02-23,1022524.5663617605
2021-02-24,1022524.5663617605
2021-02-25,1022524.5663617605
2021-02-26,1022524.5663617605
2021-03-01,1022524.5663617605
2021-03-02,1022524.5663617605
2021-03-03,1022524.5663617605
2021-03-04,1022589.3944397022
2021-03-05,1021434.6067437022
2021-03-08,1021939.8263607022
2021-03-09,1017463.5928237014
2021-03-10,1017463.5928237014
2021-03-11,1017463.5928237014
2021-03-12,1017463.5928237014
2021-03-15,1017463.5928237014
2021-03-16,1017463.5928237014
2021-03-17,1017463.5928237014
2021-03-18,1018698.0891788163
2021-03-19,1019659.7905138163
2021-03-22,1021420.0064019875
2021-03-23,1021420.0064019875
2021-03-24,1021420.0064019875
2021-03-25,1021420.0064019875
2021-03-26,1021420.0064019875
2021-03-29,1021420.0064019875
2021-03-30,1021420.0064019875
2021-03-31,1021420.0064019875
2021-04-01,1021420.0064019875
2021-04-02,1021420.0064019875
2021-04-06,1021420.0064019875
2021-04-07,1021420.0064019875
2021-04-08,1021775.2914177876
2021-04-09,1020464.2914177876
2021-04-12,1019636.2914177876
2021-04-13,1019981.2914177876
2021-04-14,1019912.2914177876
2021-04-15,1019567.2914177876
2021-04-16,1019843.2914177876
2021-04-19,1022385.5374369542
2021-04-20,1025841.8311479541
2021-04-21,1021167.4602779541
2021-04-22,1018582.5319779541
2021-04-23,1015049.0586879542
2021-04-26,1011836.5125389541
2021-04-27,1009299.2564599542
2021-04-28,1011060.9856819542
2021-04-29,1008484.993925493
2021-04-30,1000781.9686034236
2021-05-06,1002086.1159855849
2021-05-07,1002276.1988655849
