code,name,buy_date,buy_price,sell_date,sell_price,pnl,reason
000333,美的集团,2020-01-02,47.972,2020-01-21,45.974,-0.0417,震荡时间止损
000547,航天发展,2020-01-02,10.372,2020-01-21,12.951,0.2487,震荡时间止损
603906,龙蟠科技,2020-01-06,7.612,2020-01-21,7.583,-0.0038,震荡时间止损
002335,科华数据,2020-01-07,9.436,2020-01-22,9.85,0.0438,震荡时间止损
000651,格力电器,2020-01-07,45.126,2020-01-22,44.583,-0.012,震荡时间止损
002449,国星光电,2020-01-08,13.212,2020-01-23,12.931,-0.0213,震荡时间止损
002028,思源电气,2020-01-09,14.137,2020-02-03,12.146,-0.1409,止损
002217,合力泰,2020-01-09,5.887,2020-02-03,4.921,-0.1641,止损
603803,瑞斯康达,2020-01-09,13.355,2020-02-03,10.798,-0.1915,止损
002379,宏桥控股,2020-01-22,3.748,2020-02-06,4.038,0.0772,震荡时间止损
002049,紫光国微,2020-02-12,39.467,2020-02-21,46.467,0.1774,熊市保守止盈
002241,歌尔股份,2020-02-19,22.5,2020-02-24,23.984,0.066,熊市保守止盈
002149,西部材料,2020-03-10,7.231,2020-03-16,6.624,-0.0839,止损
000547,航天发展,2020-05-11,15.73,2020-05-21,14.852,-0.0558,海龟出场
000960,锡业股份,2020-06-08,8.304,2020-06-15,7.902,-0.0484,海龟出场
002414,高德红外,2020-06-03,10.128,2020-07-06,11.352,0.1209,震荡时间止损
002270,华明装备,2020-06-11,4.356,2020-07-06,4.842,0.1115,震荡时间止损
000933,神火股份,2020-07-02,3.511,2020-07-10,4.276,0.2177,震荡移动止盈
000733,振华科技,2020-07-02,21.735,2020-07-15,24.758,0.1391,震荡移动止盈
002298,中电鑫龙,2020-07-02,8.605,2020-07-17,8.578,-0.0032,震荡时间止损
002203,海亮股份,2020-07-13,8.853,2020-07-17,8.217,-0.0718,止损
002196,方正电机,2020-07-06,5.305,2020-07-21,5.355,0.0093,震荡时间止损
002196,方正电机,2020-07-28,5.566,2020-08-11,5.235,-0.0594,海龟出场
000922,佳电股份,2020-08-03,5.554,2020-08-11,5.574,0.0036,震荡移动止盈
002167,东方锆业,2020-07-29,6.006,2020-08-12,6.234,0.0379,震荡移动止盈
002249,大洋电机,2020-08-10,3.347,2020-09-04,3.315,-0.0095,海龟出场
002150,正泰电源,2020-08-12,6.807,2020-09-10,6.119,-0.1011,止损
002245,蔚蓝锂芯,2020-08-18,3.339,2020-09-10,3.246,-0.0278,震荡时间止损
603936,博敏电子,2020-08-25,15.91,2020-09-10,13.86,-0.1288,止损
000878,云南铜业,2020-09-07,13.743,2020-09-10,12.447,-0.0943,止损
000630,铜陵有色,2020-09-09,2.14,2020-09-24,1.976,-0.0762,止损
000737,北方铜业,2020-10-12,3.745,2020-10-27,3.826,0.0215,震荡时间止损
002176,江特电机,2020-10-13,2.102,2020-10-28,1.898,-0.097,止损
002129,TCL中环,2020-11-10,18.78,2020-11-17,16.331,-0.1304,止损
603897,长城科技,2020-11-25,16.106,2020-11-30,14.826,-0.0795,止损
002056,横店东磁,2020-11-04,12.614,2020-12-02,11.691,-0.0731,牛市移动止盈
002484,江海股份,2020-11-02,10.342,2020-12-09,10.387,0.0044,海龟出场
000737,北方铜业,2020-11-23,3.892,2020-12-15,4.521,0.1614,牛市移动止盈
002179,中航光电,2020-11-23,31.088,2020-12-30,38.915,0.2517,震荡时间止损
603876,鼎胜新材,2020-12-09,7.367,2020-12-30,7.264,-0.014,震荡时间止损
002414,高德红外,2020-12-23,15.034,2021-01-14,17.527,0.1658,震荡时间止损
000630,铜陵有色,2021-01-04,2.316,2021-01-14,2.153,-0.0706,止损
000922,佳电股份,2021-01-28,6.836,2021-02-05,6.326,-0.0746,止损
000922,佳电股份,2021-03-04,7.131,2021-03-09,6.59,-0.0759,止损
000400,许继电气,2021-03-18,14.018,2021-03-22,15.154,0.0811,熊市保守止盈
002196,方正电机,2021-04-08,7.097,2021-04-23,6.743,-0.0499,震荡时间止损
002436,兴森科技,2021-04-19,9.582,2021-04-30,8.864,-0.0749,止损
002150,正泰电源,2021-04-19,5.849,2021-04-30,5.331,-0.0885,止损
000737,北方铜业,2021-04-19,5.814,2021-05-06,6.086,0.0468,震荡时间止损
000962,东方钽业,2021-04-29,8.424,2021-05-13,8.98,0.0661,震荡移动止盈
002130,沃尔核材,2021-05-10,6.559,2021-05-25,6.963,0.0616,震荡时间止损
002077,大港股份,2021-05-24,6.426,2021-06-08,8.342,0.298,震荡时间止损
002281,光迅科技,2021-05-27,23.386,2021-06-11,22.856,-0.0226,震荡时间止损
002185,华天科技,2021-06-01,12.766,2021-06-16,12.338,-0.0335,震荡时间止损
002449,国星光电,2021-06-02,8.899,2021-06-17,9.452,0.0621,震荡时间止损
002217,合力泰,2021-06-07,3.574,2021-06-22,3.666,0.026,震荡时间止损
000070,特发信息,2021-06-17,7.708,2021-06-24,8.252,0.0706,震荡移动止盈
002413,雷科防务,2021-06-10,6.887,2021-06-25,6.833,-0.0078,震荡时间止损
002171,楚江新材,2021-06-10,7.719,2021-06-25,8.034,0.0408,震荡时间止损
000988,华工科技,2021-06-17,21.009,2021-07-01,22.396,0.066,震荡移动止盈
000823,超声电子,2021-06-23,10.468,2021-07-08,10.447,-0.002,震荡时间止损
603936,博敏电子,2021-06-23,11.691,2021-07-08,11.737,0.004,震荡时间止损
000960,锡业股份,2021-07-05,15.732,2021-07-20,16.65,0.0584,震荡时间止损
002396,星网锐捷,2021-07-06,20.802,2021-07-21,25.841,0.2422,震荡时间止损
603936,博敏电子,2021-07-08,11.761,2021-07-23,11.708,-0.0045,震荡时间止损
002171,楚江新材,2021-07-13,8.4,2021-07-28,8.328,-0.0086,熊市时间止损
002281,光迅科技,2021-07-20,24.541,2021-07-29,26.583,0.0832,熊市保守止盈
002491,通鼎互联,2021-07-20,4.014,2021-07-30,4.116,0.0254,熊市时间止损
002270,华明装备,2021-07-22,3.948,2021-08-02,4.256,0.0779,熊市时间止损
002298,中电鑫龙,2021-07-22,7.447,2021-08-02,8.072,0.0839,熊市保守止盈
002138,顺络电子,2021-07-26,37.117,2021-08-05,39.182,0.0556,熊市时间止损
002025,航天电器,2021-08-26,65.803,2021-09-03,60.594,-0.0792,止损
000727,冠捷科技,2021-09-13,2.673,2021-09-27,2.448,-0.0842,止损
002196,方正电机,2021-09-13,10.1,2021-09-28,10.03,-0.0069,震荡时间止损
002273,水晶光电,2021-09-27,13.63,2021-10-12,13.262,-0.027,震荡时间止损
002497,雅化集团,2021-10-27,33.849,2021-11-01,30.258,-0.1061,止损
603897,长城科技,2021-10-21,39.215,2021-11-03,35.222,-0.1018,止损
002156,通富微电,2021-11-11,20.969,2021-11-26,20.272,-0.0332,震荡时间止损
000977,浪潮信息,2021-11-22,32.185,2021-12-07,31.825,-0.0112,震荡时间止损
002298,中电鑫龙,2021-12-13,7.578,2021-12-24,7.273,-0.0402,海龟出场
002150,正泰电源,2021-12-15,6.011,2021-12-30,6.086,0.0124,震荡时间止损
603803,瑞斯康达,2021-12-22,6.81,2021-12-31,7.858,0.1539,震荡移动止盈
603920,世运电路,2021-12-30,19.337,2022-01-14,21.033,0.0877,震荡时间止损
000536,华映科技,2022-01-11,2.502,2022-01-19,2.378,-0.0499,海龟出场
002379,宏桥控股,2022-01-12,3.441,2022-01-20,3.197,-0.071,止损
002290,禾盛新材,2022-01-12,7.928,2022-01-20,7.383,-0.0688,海龟出场
002298,中电鑫龙,2022-01-19,7.748,2022-01-20,7.323,-0.0549,海龟出场
002281,光迅科技,2022-01-19,22.816,2022-01-24,21.555,-0.0553,海龟出场
000630,铜陵有色,2022-01-17,3.343,2022-01-25,3.086,-0.0769,止损
603890,春秋电子,2022-01-13,13.162,2022-01-26,12.335,-0.0628,海龟出场
000733,振华科技,2022-06-07,118.324,2022-06-22,118.593,0.0023,震荡时间止损
002079,苏州固锝,2022-06-16,10.252,2022-07-01,13.29,0.2962,震荡移动止盈
000400,许继电气,2022-06-21,18.968,2022-07-06,18.072,-0.0472,震荡时间止损
603890,春秋电子,2022-06-23,9.328,2022-07-08,9.281,-0.005,震荡时间止损
002298,中电鑫龙,2022-06-23,6.647,2022-07-08,6.873,0.0341,震荡时间止损
000629,钒钛股份,2022-06-28,3.664,2022-07-08,5.514,0.5052,震荡移动止盈
002236,大华股份,2022-06-28,15.048,2022-07-11,14.014,-0.0687,海龟出场
002151,北斗星通,2022-06-28,32.141,2022-07-11,29.901,-0.0697,海龟出场
002413,雷科防务,2022-06-27,5.475,2022-07-12,5.475,-0.0002,震荡时间止损
002203,海亮股份,2022-06-28,11.16,2022-07-13,10.627,-0.0478,震荡时间止损
000651,格力电器,2022-06-28,25.726,2022-07-13,27.147,0.0552,震荡时间止损
002167,东方锆业,2022-07-07,7.668,2022-07-22,7.502,-0.0215,震荡时间止损
002290,禾盛新材,2022-07-19,7.477,2022-08-01,9.131,0.2211,震荡移动止盈
002203,海亮股份,2022-07-18,11.409,2022-08-02,11.234,-0.0153,震荡时间止损
002249,大洋电机,2022-07-21,5.528,2022-08-05,5.508,-0.0036,震荡时间止损
002402,和而泰,2022-07-27,17.952,2022-08-11,20.47,0.1403,震荡时间止损
002449,国星光电,2022-07-28,8.261,2022-08-12,9.106,0.1023,震荡时间止损
000612,焦作万方,2022-07-28,6.046,2022-08-12,6.053,0.0011,震荡时间止损
002130,沃尔核材,2022-08-01,6.331,2022-08-16,6.854,0.0827,震荡时间止损
002413,雷科防务,2022-08-01,5.836,2022-08-16,5.694,-0.0243,震荡时间止损
000988,华工科技,2022-08-01,22.535,2022-08-16,23.368,0.0369,震荡时间止损
002428,云南锗业,2022-08-01,12.068,2022-08-16,12.442,0.031,震荡时间止损
000536,华映科技,2022-08-01,2.122,2022-08-16,2.507,0.1816,震荡时间止损
002249,大洋电机,2022-08-17,5.799,2022-08-25,5.517,-0.0487,海龟出场
002171,楚江新材,2022-09-20,9.971,2022-09-28,8.797,-0.1177,止损
002149,西部材料,2022-10-26,16.154,2022-11-07,15.492,-0.041,熊市时间止损
000960,锡业股份,2022-12-06,13.353,2022-12-19,12.606,-0.0559,海龟出场
000831,中国稀土,2022-12-13,34.806,2022-12-19,33.155,-0.0474,海龟出场
000630,铜陵有色,2022-12-05,2.79,2022-12-20,3.015,0.0806,震荡时间止损
002213,大为股份,2022-12-06,15.654,2022-12-20,15.214,-0.0281,海龟出场
603986,兆易创新,2022-12-15,104.17,2022-12-23,93.827,-0.0993,止损
603986,兆易创新,2023-01-09,104.101,2023-01-30,119.765,0.1505,震荡时间止损
002378,章源钨业,2023-01-19,5.589,2023-02-03,6.596,0.1801,震荡时间止损
002449,国星光电,2023-01-31,9.026,2023-02-15,9.262,0.0262,震荡时间止损
002222,福晶科技,2023-01-31,15.124,2023-02-15,15.721,0.0395,震荡时间止损
002379,宏桥控股,2023-01-31,4.383,2023-02-15,4.374,-0.002,震荡时间止损
002079,苏州固锝,2023-02-15,15.805,2023-02-17,14.507,-0.0821,止损
000636,风华高科,2023-02-15,17.748,2023-02-23,16.48,-0.0714,止损
000400,许继电气,2023-02-13,22.672,2023-02-28,23.624,0.042,震荡时间止损
002270,华明装备,2023-02-15,7.757,2023-03-02,7.828,0.0092,震荡时间止损
002028,思源电气,2023-02-20,44.563,2023-03-09,43.22,-0.0301,海龟出场
000922,佳电股份,2023-03-06,8.833,2023-03-14,8.272,-0.0635,海龟出场
000547,航天发展,2023-03-02,11.475,2023-03-16,11.074,-0.0349,海龟出场
002428,云南锗业,2023-03-02,11.18,2023-03-16,10.6,-0.0519,海龟出场
